,experimentVariant,hits
1281,Контрольная,31
1282,Контрольная,46
1283,Контрольная,26
1284,Контрольная,59
1285,Контрольная,50
1286,Контрольная,124
1287,Контрольная,35
1288,Контрольная,28
1289,Контрольная,28
1290,Контрольная,68
1291,Контрольная,27
1292,Контрольная,65
1293,Контрольная,62
1294,Контрольная,32
1295,Контрольная,27
1296,Контрольная,101
1297,Контрольная,48
1298,Контрольная,86
1299,Контрольная,79
1300,Контрольная,107
1301,Контрольная,29
1302,Контрольная,33
1303,Контрольная,27
1304,Контрольная,48
1305,Контрольная,97
1306,Контрольная,146
1307,Контрольная,32
1308,Контрольная,115
1309,Контрольная,26
1310,Контрольная,29
1311,Контрольная,34
1312,Контрольная,49
1313,Контрольная,36
1314,Контрольная,27
1315,Контрольная,46
1316,Контрольная,41
1317,Контрольная,29
1318,Контрольная,49
1319,Контрольная,34
1320,Контрольная,67
1321,Контрольная,28
1322,Контрольная,100
1323,Контрольная,37
1324,Контрольная,70
1325,Контрольная,88
1326,Контрольная,54
1327,Контрольная,83
1328,Контрольная,96
1329,Контрольная,31
1330,Контрольная,130
1331,Контрольная,32
1332,Контрольная,26
1333,Контрольная,30
1334,Контрольная,26
1335,Контрольная,42
1336,Контрольная,26
1337,Контрольная,32
1338,Контрольная,41
1339,Контрольная,26
1340,Контрольная,37
1341,Контрольная,44
1342,Контрольная,167
1343,Контрольная,39
1344,Контрольная,40
1345,Контрольная,29
1346,Контрольная,40
1347,Контрольная,34
1348,Контрольная,30
1349,Контрольная,35
1350,Контрольная,44
1351,Контрольная,29
1352,Контрольная,232
1353,Контрольная,54
1354,Контрольная,36
1355,Контрольная,28
1356,Контрольная,58
1357,Контрольная,29
